Name,Address,Latitude,Longitude,Postal Code,Region_new
Abram Refrigeration & Systems,"1606 London Line, Sarnia, ON N7W 1A8",42.9849357,-82.3362027,,Southwest
Air Control Central,"47 Stewart Dr. RR1, Guelph, ON N1H 6H7",43.5950388,-80.2349196,,Southwest
Air Design Services,"39 Enterprise Drive, London, ON N6N 1A3",42.9316096,-81.1887876,,Southwest
Air Kool Limited,"5125 Harvester Road, Unit #4, Burlington, ON L7L 6A2",43.3814795,-79.7641254,,Central
Air Track Inc,"16 Falconer Dr, Unit-5, Mississauga, ON L5N 3M1",43.5936468,-79.7264797,,Central
Aircom Heating & Cooling Systems Ltd,"18 Automatic Road, Unit 20, Brampton, ON L6S 5N5",43.7582172,-79.7125555,,Central
Alert Air Systems,"307 Friendship Ave., Toronto, ON M1C 2X8",43.7926276,-79.1315413,,Toronto
Alpine Technical Services Ltd.,"841 Reach Street, Port Perry, ON L9L 1B2",44.0973501,-79.0192368,,Central
Ambient Mechanical Ltd.,"191 Caldari Road, Unit 2, Concord, ON L4K 4A1",43.8225627,-79.5281143,,Central
BML Multi Trades Group Ltd.,"P. O. Box 1627, 32 Ryan Place, Brantford, ON N3T 5V7",43.1541271,-80.2263675,,Southwest
Braneida Mechanical Service Ltd.,"114 Easton Road, Brantford, ON N3P 1J5",43.1789994,-80.2424562,,Southwest
Brant Custom Heat & Air,"40 Gotha Street, Trenton, ON K8V 6E1",44.1057289,-77.5881145,,Eastern
Buchanan & Hall,"551 Wright Blvd, Stratford, ON N4Z 1H3",43.3475115,-81.0174126,,Southwest
Buhler Mechanical Service Ltd.,"911 Tungsten Street, Thunder Bay, ON P7B 5Z3",48.4111848,-89.2536044,,Northern
Burban Air Systems Ltd.,"15 Crockford Blvd., Unit 6, Scarborough, ON M1L 4J9",43.7358697,-79.2857221,,Toronto
Canada Climate Services Inc,"830 Harrington Court, Unit 1B, Burlington, ON L7N 3N4",43.3568891,-79.7863311,,Central
Canadawide Heating & Cooling Inc.,"9 Caster Avenue Unit #3, Woodbridge, ON L4L 5Z1",43.7842066,-79.5557403,,Central
Canadian Tech Air Systems,"3-237 Finchdene Square, Scarborough, ON M1X 2E1",43.8217385,-79.2337488,,Toronto
Carlton 5 Mechanical Services Inc,"1425 Beaverdams Rd, Unit# 2, Thorold, ON L2V 3X9",43.1135191,-79.2009529,,Central
Carter-Grant Mechanical Systems Inc.,"80 Rankin Street, Unit #3, Waterloo, ON N2V 1V9",43.511049,-80.535884,,Southwest
Century Mechanical Services,"15 Capella Court, Unit 120, Nepean, ON K2E 7X1",45.3315913,-75.7067132,,Eastern
Climatemp Systems (2009) Ltd.,"6635 Kitimat Road, Unit 41, Mississauga, ON L5N 6J2",43.6031495,-79.7328893,,Central
Concept Air Systems Mechanical Inc.,"1011 Eglinton Ave. E # 9 - 10, Mississauga, ON L4W 1K4",43.6280224,-79.6308231,,Central
Critical Air Mechanical Inc.,"3400 14th Avenue, Unit 5, Markham, ON L3R 0H7",43.835199,-79.341903,,Central
Culliton,"473 Douro Street, Stratford, ON N5A 6W3",43.3667347,-80.9604146,,Southwest
Dael Thermal Group Inc,"50 Airview Road Unit 17, Toronto, ON M9W 4P2",43.7198272,-79.5763539,,Toronto
Delta Air Systems Ltd.,"2 - 595 Colby Drive, Waterloo, ON N2V 1A1",43.5021704,-80.541015,,Southwest
Denkar Controls Inc.,"2-191 Booth Road, North Bay, ON P1A 4K3",46.2661403,-79.4198062,,Northern
Dime-Aire HVAC Services Inc.,"7125 Pacific Circle, Unit 17, Mississauga, ON L5T 2A5",43.6589696,-79.6837997,,Central
Dragon Appliance Centre,"636 Edward Avenue, Unit #12, Richmond Hill, ON L4C 0V4",43.8988362,-79.4305216,,Central
E - M Air Systems Inc.,"69 Romina Drive, Concord, ON L4K 4Z9",43.8151939,-79.5363704,,Central
E S P Contracting Inc.,"66 BullockDrive, Unit 3, Markham, ON L3P 3P2",43.8784997,-79.2680903,,Central
Encore Heating & Air Conditioning Ltd,"7033 Telford Way, Unit 12, Mississauga, ON L5S 1V4",43.681023,-79.6693417,,Central
Extreme Air Systems Ltd,"850 Tapscott Road, Unit 41, Scarborough, ON M1X 1N4",43.8211787,-79.241855,,Toronto
Francis HVAC Service,"1 - 81 Auriga Drive, Ottawa, ON K2E 7Y5",45.3282385,-75.7121659,,Eastern
G.T. Air Systems Inc.,"35 Terry Fox Drive, Unit #307, Kingston, ON K7M 8N4",44.262051,-76.5223857,,Eastern
Georgian Home Comfort Inc.,"373 Huronia Road, Barrie, ON L4N 8Z1",44.3536325,-79.6646388,,Central
Gertley Mechanical,"705 Rye Street, Unit # 1, Peterborough, ON K9J 6X1",44.2776035,-78.348176,,Eastern
"Gravenhurst Plumbing, Heating & Electric","210 Brock Street, Gravenhurst, ON P1P 1H4",44.920294,-79.372538,,Northern
Grossi Plumbing & Heating,"238 Talbot Street West, Leamington, ON N8H 1P1",42.0478919,-82.6198535,,Southwest
Handy Bros. ClimateCare Inc.,"20226 Communication Road, R. R. #5, Blenheim, ON N0P 1A0",42.3423219,-82.0120811,,Southwest
Henderson Metal Fabricating Co. Ltd.,"76 Industrial Park Crescent, Sault Ste. Marie, ON P6B 5P2",46.542245,-84.322952,,Central
Incline Mechanical Inc.,"84 Carely Road., Sutton West, ON L0E 1R0",44.222019,-79.380898,,Southwest
J J McLellan & Son,"P.O. Box 358, 695 Queen Street West, Mount Forest, ON N0G 2L0",43.9771134,-80.7530943,,Southwest
"J. P. Martin Heating, A/C & Refrig.","5 Perini Road, Elliot Lake, ON P5A 2T1",46.3786225,-82.6378102,,Eastern
J.E. Niemeyer Mechanical Ltd.,"37 Nottawasaga Drive, Angus, ON L0M 1B0",44.316654,-79.8712681,,Central
Jet Stream Mechanical Ltd.,"221 Westney Road South Unit B, Ajax, ON L1S 2C9",43.8431349,-79.0353922,,Central
Ken Robinson Refrigeration Inc.,"90 Dunlop Place, Stratford, ON N5A 6S4",43.3507164,-80.9906571,,Southwest
Kooltech Mechanical,"1395 David Rd., Rockland, ON K4K 1H5",45.5440324,-75.2600105,,Southwest
Koolzone Refrigeration Inc o/a Tradeforce Tech,"5 Manitou Dr,, Unit 102B, Kitchener, ON N2C 1J6",43.418259,-80.4544908,,Southwest
Tradeforce Tech,"35 Trillium Drive, Unit 2, Kitchener, ON N2E OH2",43.3978157,-80.4592514,,Southwest
KRB Mechanical Limited,"50A Venture Crescent, North Bay, ON P1A 0E5",46.307614,-79.4271289,,Northern
L & B Mechanical,"93 Bell Farm Road, Suite #109, Barrie, ON L4M 5G1",44.4095179,-79.6776616,,Central
Lar-Mex Inc.,"4-5509 Canotek Rd., Ottawa, ON K1J 9J8",45.4568693,-75.5836319,,Eastern
Mapleridge Mechanical Contractors Ltd,"939 Dillingham Road, Pickering, ON L1W 1Z7",43.8284911,-79.0684332,,Central
Mirabelli HVAC Inc.,"1338 Falkenburg Road, Bracebridge, ON P1L 1X4",45.1052121,-79.3999971,,Northern
Multi-Temp Systems Inc.,"40 Pippin Road, Unit #18 & 19, Concord, ON L4K 4M6",43.8102456,-79.5256109,,Central
Murray Mechanical Systems Ltd.,"48 George Street, Barrie, ON L4N 5N3",44.3790413,-79.7076904,,Central
North Mechanical Systems Inc.,"966 Pantera Drive, Unit 19, Mississauga, ON L4W 2S1",43.629904,-79.6383653,,Central
Paramount Services Limited,"69 Bessemer Road, Unit 15, London, ON N6E 2V6",42.9290266,-81.2120349,,Southwest
"Peterborough Refrigeration, Heating & Air Conditioning Limited","655 The Queensway, units #3, #4, Peterborough, ON K9J 7M1",44.2768904,-78.3359501,,Eastern
Poulsen Heating & Air Conditioning Inc.,"609 Clarke Road, Unit 10, London, ON N5V 4C1",43.013997,-81.18183,,Southwest
Precision Air Mechanical Services Ltd.,"55 Sinclair Ave., Unit #11, Georgetown, ON L7G 4X4",43.6516449,-79.8956114,,Central
Pro Trades Mechanical Inc.,"2714 Meighen Road, Windsor, ON N8W 4C8",42.2939443,-82.977583,,Southwest
R.B. Heating ClimateCare,"845 Prescott Street, Kemptville, ON K0G 1J0",45.0091977,-75.6359623,,Eastern
Refrigeration Energy Solutions Ltd,"658 5th Consession Rd. West RR2, Waterdown, ON L0R 2H2",43.3300865,-79.9952001,,Central
S & T Group,"158 Sackville Rd, Sault Ste. Marie, ON P6B 4T6",46.543863,-84.3290749,,Northern
Scott Refrigeration HVAC Ltd,"36 Lincoln St, Hamilton, ON L8L7L5",43.2537072,-79.8206571,,Central
Service Experts Heating & Air Conditioning - Niagara,"177 Scott Street, St. Catharines, ON L2N 1H4",43.1828898,-79.2476259,,Central
Services Plus,"2341 Sandy Trail, Innisfil, ON L9S 2G1",44.3276353,-79.5391937,,Central
Syles Mechanical Services Ltd (Enercare Home Services),"3255 Odessa Drive, Tecumseh, ON N8N 2M1",42.2788978,-82.8867946,,Southwest
T. O. Cool Mechanical,"1015 Evans Place, Belle Ewart, ON L0L 1C0",44.2716372,-79.5421229,,Central
Thermal-Tech Mechanical Ltd.,"49 Ebycrest Rd., Breslau, ON N0B 1M0",43.4849704,-80.4189381,,Southwest
Tisdale Plumbing & Heating (1991) Ltd.,"40 Golden Avenue, South Porcupine, ON P0N 1H0",48.4775131,-81.2135183,,Northern
Valley Refrigeration Ltd.,"1377 Pembroke Street West, Pembroke, ON K8A 7A5",45.8395376,-77.165468,,Eastern
Velocity Mechanical Inc,"176 Forfar Ave. Unit B, Kitchener, ON N2B 3A1",43.4666943,-80.454077,,Southwest
Wellington Comfort Systems Ltd,"656 Imperial Road North, Guelph, ON N1H 7M3",43.5427083,-80.3054238,,Southwest
Woodbridge GTA ClimateCare,"285 Jevlan Drive, Woodbridge, ON L4L 8G6",43.8011478,-79.5476115,,Central
